Country,Code,Capital,Latitude,Longitude
Afghanistan,AFG,Kabul,34.28N,69.11E
Albania,ALB,Tirane,41.18N,19.49E
Algeria,DZA,Algiers,36.42N,03.08E
American Samoa,ASM,Pago Pago,14.16S,170.43W
Andorra,AND,Andorra la Vella,42.31N,01.32E
Angola,AGO,Luanda,08.50S,13.15E
Antigua and Barbuda,ATG,West Indies,17.20N,61.48W
Argentina,ARG,Buenos Aires,36.30S,60.00W
Armenia,ARM,Yerevan,40.10N,44.31E
Aruba,ABW,Oranjestad,12.32N,70.02W
Australia,AUS,Canberra,35.15S,149.08E
Austria,AUT,Vienna,48.12N,16.22E
Azerbaijan,AZE,Baku,40.29N,49.56E
Bahamas,BHS,Nassau,25.05N,77.20W
Bahrain,BHR,Manama,26.10N,50.30E
Bangladesh,BGD,Dhaka,23.43N,90.26E
Barbados,BRB,Bridgetown,13.05N,59.30W
Belarus,BLR,Minsk,53.52N,27.30E
Belgium,BEL,Brussels,50.51N,04.21E
Belize,BLZ,Belmopan,17.18N,88.30W
Benin,BEN,Porto Novo (constitutional) ,06.23N,02.42E
Bhutan,BTN,Thimphu,27.31N,89.45E
Bolivia,BOL,La Paz,16.20S,68.10W
Bosnia and Herzegovina,BIH,Sarajevo,43.52N,18.26E
Botswana,BWA,Gaborone,24.45S,25.57E
Brazil,BRA,Brasilia,15.47S,47.55W
British Virgin Islands,VGB,Road Town,18.27N,64.37W
Brunei Darussalam,BRN,Bandar Seri Begawan,04.52N,115.00E
Bulgaria,BGR,Sofia,42.45N,23.20E
Burkina Faso,BFA,Ouagadougou,12.15N,01.30W
Burundi,BDI,Bujumbura,03.16S,29.18E
Cambodia,KHM,Phnom Penh,11.33N,104.55E
Cameroon,CMR,Yaounde,03.50N,11.35E
Canada,CAN,Ottawa,45.27N,75.42W
Cape Verde,CPV,Praia,15.02N,23.34W
Cayman Islands,CYM,George Town,19.20N,81.24W
Central African Republic,CAF,Bangui,04.23N,18.35E
Chad,TCD,N'Djamena,12.10N,14.59E
Chile,CHL,Santiago,33.24S,70.40W
China,CHN,Beijing,39.55N,116.20E
Colombia,COL,Bogota,04.34N,74.00W
Comros,COM,Moroni,11.40S,43.16E
Congo,COG,Brazzaville,04.09S,15.12E
Costa Rica,CRI,San Jose,09.55N,84.02W
Cote d'Ivoire,CIV,Yamoussoukro,06.49N,05.17W
Croatia,HRV,Zagreb,45.50N,15.58E
Cuba,CUB,Havana,23.08N,82.22W
Cyprus,CYP,Nicosia,35.10N,33.25E
Czech Republic,CZE,Prague,50.05N,14.22E
Democratic Republic of the Congo,COD,Kinshasa,04.20S,15.15E
Denmark,DNK,Copenhagen,55.41N,12.34E
Djibouti,DJI,Djibouti,11.08N,42.20E
Dominica,DMA,Roseau,15.20N,61.24W
Dominica Republic,DOM,Santo Domingo,18.30N,69.59W
East Timor,TLS,Dili,08.29S,125.34E
Ecuador,ECU,Quito,00.15S,78.35W
Egypt,EGY,Cairo,30.01N,31.14E
El Salvador,SLV,San Salvador,13.40N,89.10W
Equatorial Guinea,GNQ,Malabo,03.45N,08.50E
Eritrea,ERI,Asmara,15.19N,38.55E
Estonia,EST,Tallinn,59.22N,24.48E
Ethiopia,ETH,Addis Ababa,09.02N,38.42E
Falkland Islands (Malvinas),FLK,Stanley,51.40S,59.51W
Faroe Islands,FRO,Torshavn,62.05N,06.56W
Fiji,FJI,Suva,18.06S,178.30E
Finland,FIN,Helsinki,60.15N,25.03E
France,FRA,Paris,48.50N,02.20E
French Guiana,GUF,Cayenne,05.05N,52.18W
French Polynesia,PYF,Papeete,17.32S,149.34W
Gabon,GAB,Libreville,00.25N,09.26E
Gambia,GMB,Banjul,13.28N,16.40W
Georgia,GEO,T'bilisi,41.43N,44.50E
Germany,DEU,Berlin,52.30N,13.25E
Ghana,GHA,Accra,05.35N,00.06W
Greece,GRC,Athens,37.58N,23.46E
Greenland,GRL,Nuuk,64.10N,51.35W
Guadeloupe,GLP,Basse-Terre,16.00N,61.44W
Guatemala,GTM,Guatemala,14.40N,90.22W
Guernsey,GGY,St. Peter Port,49.26N,02.33W
Guinea,GIN,Conakry,09.29N,13.49W
Guinea-Bissau,GNB,Bissau,11.45N,15.45W
Guyana,GUY,Georgetown,06.50N,58.12W
Haiti,HTI,Port-au-Prince,18.40N,72.20W
Heard Island and McDonald Islands,HMD,,53.00S,74.00E
Honduras,HND,Tegucigalpa,14.05N,87.14W
Hungary,HUN,Budapest,47.29N,19.05E
Iceland,ISL,Reykjavik,64.10N,21.57W
India,IND,New Delhi,28.37N,77.13E
Indonesia,IDN,Jakarta,06.09S,106.49E
Iran (Islamic Republic of),IRN,Tehran,35.44N,51.30E
Iraq,IRQ,Baghdad,33.20N,44.30E
Ireland,IRL,Dublin,53.21N,06.15W
Israel,ISR,Jerusalem,31.71N,35.10W
Italy,ITA,Rome,41.54N,12.29E
Jamaica,JAM,Kingston,18.00N,76.50W
Jordan,JOR,Amman,31.57N,35.52E
Kazakhstan,KAZ,Astana,51.10N,71.30E
Kenya,KEN,Nairobi,01.17S,36.48E
Kiribati,KIR,Tarawa,01.30N,173.00E
Kuwait,KWT,Kuwait,29.30N,48.00E
Kyrgyzstan,KGZ,Bishkek,42.54N,74.46E
Lao People's Democratic Republic,LAO,Vientiane,17.58N,102.36E
Latvia,LVA,Riga,56.53N,24.08E
Lebanon,LBN,Beirut,33.53N,35.31E
Lesotho,LSO,Maseru,29.18S,27.30E
Liberia,LBR,Monrovia,06.18N,10.47W
Libyan Arab Jamahiriya,LBY,Tripoli,32.49N,13.07E
Liechtenstein,LIE,Vaduz,47.08N,09.31E
Lithuania,LTU,Vilnius,54.38N,25.19E
Luxembourg,LUX,Luxembourg,49.37N,06.09E
"Macao, China",MAC,Macau,22.12N,113.33E
Madagascar,MDG,Antananarivo,18.55S,47.31E
Macedonia (Former Yugoslav Republic),MKD,Skopje,42.01N,21.26E
Malawi,MWI,Lilongwe,14.00S,33.48E
Malaysia,MYS,Kuala Lumpur,03.09N,101.41E
Maldives,MDV,Male,04.00N,73.28E
Mali,MLI,Bamako,12.34N,07.55W
Malta,MLT,Valletta,35.54N,14.31E
Martinique,MTQ,Fort-de-France,14.36N,61.02W
Mauritania,MRT,Nouakchott,20.10S,57.30E
Mayotte,MYT,Mamoudzou,12.48S,45.14E
Mexico,MEX,Mexico,19.20N,99.10W
Micronesia (Federated States of),FSM,Palikir,06.55N,158.09E
"Moldova, Republic of",MDA,Chisinau,47.02N,28.50E
Mozambique,MOZ,Maputo,25.58S,32.32E
Myanmar,MMR,Yangon,16.45N,96.20E
Namibia,NAM,Windhoek,22.35S,17.04E
Nepal,NPL,Kathmandu,27.45N,85.20E
Netherlands,NLD,Amsterdam ,52.23N,04.54E
Netherlands Antilles,ANT,Willemstad,12.05N,69.00W
New Caledonia,NCL,Noumea,22.17S,166.30E
New Zealand,NZL,Wellington,41.19S,174.46E
Nicaragua,NIC,Managua,12.06N,86.20W
Niger,NER,Niamey,13.27N,02.06E
Nigeria,NGA,Abuja,09.05N,07.32E
Norfolk Island,NFK,Kingston,45.20S,168.43E
North Korea,PRK,Pyongyang,39.09N,125.30E
Northern Mariana Islands,MNP,Saipan,15.12N,145.45E
Norway,NOR,Oslo,59.55N,10.45E
Oman,OMN,Masqat,23.37N,58.36E
Pakistan,PAK,Islamabad,33.40N,73.10E
Palau,PLW,Koror,07.20N,134.28E
Panama,PAN,Panama,09.00N,79.25W
Papua New Guinea,PNG,Port Moresby,09.24S,147.08E
Paraguay,PRY,Asuncion,25.10S,57.30W
Peru,PER,Lima,12.00S,77.00W
Philippines,PHL,Manila,14.40N,121.03E
Poland,POL,Warsaw,52.13N,21.00E
Portugal,PRT,Lisbon,38.42N,09.10W
Puerto Rico,PRI,San Juan,18.28N,66.07W
Qatar,QAT,Doha,25.15N,51.35E
Republic of Korea,KOR,Seoul,37.31N,126.58E
Romania,ROU,Bucuresti,44.27N,26.10E
Russian Federation,RUS,Moskva,55.45N,37.35E
Rawanda,RWA,Kigali,01.59S,30.04E
Saint Kitts and Nevis,KNA,Basseterre,17.17N,62.43W
Saint Lucia,LCA,Castries,14.02N,60.58W
Saint Pierre and Miquelon,SPM,Saint-Pierre,46.46N,56.12W
Saint Vincent and the Greenadines,VCT,Kingstown,13.10N,61.10W
Samoa,WSM,Apia,13.50S,171.50W
San Marino,SMR,San Marino,43.55N,12.30E
Sao Tome and Principe,STP,Sao Tome,00.10N,06.39E
Saudi Arabia,SAU,Riyadh,24.41N,46.42E
Senegal,SEN,Dakar,14.34N,17.29W
Sierra Leone,SLE,Freetown,08.30N,13.17W
Slovakia,SVK,Bratislava,48.10N,17.07E
Slovenia,SVN,Ljubljana,46.04N,14.33E
Solomon Islands,SLB,Honiara,09.27S,159.57E
Somalia,SOM,Mogadishu,02.02N,45.25E
South Africa,ZAF,Cape Town (legislative) ,25.44S,28.12E
Spain,ESP,Madrid,40.25N,03.45W
Sudan,SDN,Khartoum,15.31N,32.35E
Suriname,SUR,Paramaribo,05.50N,55.10W
Swaziland,SWZ,Mbabane (administrative),26.18S,31.06E
Sweden,SWE,Stockholm,59.20N,18.03E
Switzerland,CHE,Bern,46.57N,07.28E
Syrian Arab Republic,SYR,Damascus,33.30N,36.18E
Tajikistan,TJK,Dushanbe,38.33N,68.48E
Thailand,THA,Bangkok,13.45N,100.35E
Togo,TGO,Lome,06.09N,01.20E
